id,response
citzen1,Very Happy
citzen100,Very Happy
citzen10007,Very Happy
citzen10010,Very Happy
citzen10023,Pretty Happy
citzen10039,Pretty Happy
citzen10046,Very Happy
citzen1005,Pretty Happy
citzen10054,Pretty Happy
citzen10057,Pretty Happy
citzen10061,Pretty Happy
citzen10064,Very Happy
citzen10067,Not Happy
citzen10072,Pretty Happy
citzen10073,Very Happy
citzen10076,Very Happy
citzen10077,Very Happy
citzen10079,Pretty Happy
citzen10081,Pretty Happy
citzen10083,Pretty Happy
citzen10084,Very Happy
citzen10093,Pretty Happy
citzen10097,Very Happy
citzen10098,Very Happy
citzen10099,Very Happy
citzen10100,Pretty Happy
citzen10101,Very Happy
citzen10105,Pretty Happy
citzen1011,Not Happy
citzen10111,Not Happy
citzen10118,Very Happy
citzen10124,Pretty Happy
citzen10129,Very Happy
citzen10131,Very Happy
citzen10135,Very Happy
citzen10139,Pretty Happy
citzen1014,Pretty Happy
citzen10147,Pretty Happy
citzen10148,Not Happy
citzen10164,Very Happy
citzen10165,Very Happy
citzen10166,Pretty Happy
citzen10169,Very Happy
citzen10170,Very Happy
citzen10176,Very Happy
citzen10177,Very Happy
citzen10178,Not Happy
citzen1018,Not Happy
citzen1019,Pretty Happy
citzen10199,Pretty Happy
citzen10203,Pretty Happy
citzen10208,Very Happy
citzen1021,Very Happy
citzen10212,Very Happy
citzen10215,Not Happy
citzen10226,Pretty Happy
citzen10248,Very Happy
citzen10250,Not Happy
citzen10252,Very Happy
citzen10255,Very Happy
citzen1026,Not Happy
citzen10262,Pretty Happy
citzen10265,Very Happy
citzen10273,Not Happy
citzen10276,Pretty Happy
citzen10279,Not Happy
citzen10281,Pretty Happy
citzen10283,Pretty Happy
citzen10285,Very Happy
citzen10290,Pretty Happy
citzen10306,Very Happy
citzen10316,Pretty Happy
citzen10321,Pretty Happy
citzen10323,Very Happy
citzen10326,Very Happy
citzen10330,Pretty Happy
citzen10335,Not Happy
citzen10344,Pretty Happy
citzen10363,Very Happy
citzen10366,Pretty Happy
citzen1037,Pretty Happy
citzen10371,Pretty Happy
citzen10387,Pretty Happy
citzen10388,Pretty Happy
citzen10392,Very Happy
citzen10396,Very Happy
citzen10397,Very Happy
citzen10408,Very Happy
citzen10409,Pretty Happy
citzen10410,Pretty Happy
citzen10412,Pretty Happy
citzen10415,Pretty Happy
citzen10420,Pretty Happy
citzen10426,Pretty Happy
citzen10427,Very Happy
citzen10429,Pretty Happy
citzen10430,Not Happy
citzen10432,Pretty Happy
citzen10436,Pretty Happy
citzen1044,Very Happy
citzen10440,Pretty Happy
citzen10442,Very Happy
citzen10445,Very Happy
citzen10451,Very Happy
citzen10454,Very Happy
citzen10457,Pretty Happy
citzen10459,Very Happy
citzen10461,Very Happy
citzen10464,Pretty Happy
citzen10470,Not Happy
citzen1048,Very Happy
citzen10481,Very Happy
citzen10493,Pretty Happy
citzen10505,Pretty Happy
citzen10515,Very Happy
citzen10516,Very Happy
citzen10527,Pretty Happy
citzen1054,Pretty Happy
citzen10541,Pretty Happy
citzen10544,Very Happy
citzen10554,Pretty Happy
