id,alcohol_consumption,location_class,workstatus,score,divorce,widowed,education,residence_region,babies,preteen,teens,income,engagement_religion,x1,tvhours,gender,response
citzen10002,2 - 3 times a month,C,working fulltime,36,,,13,south atlantic,0,0,0,$20000 - 24999,sevrl times a yr,2,4,1,Pretty Happy
citzen10003,Occassional,B,working fulltime,66,,no,19,south atlantic,0,0,0,$25000 or more,once a month,3,8,1,Very Happy
citzen10005,Once a week,F,working parttime,27,no,no,9,w. nor. central,0,0,0,$20000 - 24999,never,2,5,0,Pretty Happy
citzen10006,,D,retired,30,no,no,7,new england,1,0,0,,sevrl times a yr,2,,0,Not Happy
citzen10009,Once a week,D,retired,35,no,,6,south atlantic,0,0,0,$10000 - 14999,once a year,1,,0,Pretty Happy
citzen1001,Rarely,C,working fulltime,41,no,no,13,e. nor. central,3,0,0,$20000 - 24999,sevrl times a yr,2,2,0,Pretty Happy
citzen10011,Once a month,F,working parttime,17,no,no,13,e. nor. central,0,0,0,$25000 or more,nrly every week,1,,1,Very Happy
citzen10013,Once a week,D,retired,36,no,,4,e. sou. central,0,0,0,$7000 to 7999,sevrl times a yr,1,2,1,Pretty Happy
citzen10016,Never,C,keeping house,27,no,no,12,pacific,2,0,0,$25000 or more,never,3,2,1,Pretty Happy
citzen10017,Occassional,B,working fulltime,50,yes,no,15,e. nor. central,2,0,0,$25000 or more,2-3x a month,3,,0,Pretty Happy
citzen10018,Rarely,E,other,22,no,no,12,e. nor. central,0,1,0,$25000 or more,once a year,1,,0,Pretty Happy
citzen10019,Occassional,A,working fulltime,,yes,no,17,south atlantic,0,0,0,,sevrl times a yr,3,3,0,Pretty Happy
citzen1002,Once a month,C,working fulltime,47,,no,18,e. nor. central,0,0,0,$25000 or more,once a month,3,,0,Pretty Happy
citzen10020,Occassional,A,retired,61,no,,12,e. nor. central,0,0,0,$20000 - 24999,lt once a year,2,6,1,Very Happy
citzen10022,Occassional,B,working fulltime,86,no,no,20,w. sou. central,0,0,1,$25000 or more,nrly every week,3,1,0,Pretty Happy
citzen10024,2 - 3 times a month,F,working fulltime,31,,,16,middle atlantic,0,0,0,$25000 or more,once a year,3,2,0,Pretty Happy
citzen10025,Never,B,working fulltime,38,no,no,13,south atlantic,1,0,0,$20000 - 24999,once a year,3,2,1,Very Happy
citzen10028,Once a week,B,working fulltime,41,yes,no,12,e. nor. central,1,1,0,$15000 - 19999,sevrl times a yr,1,2,0,Very Happy
citzen10030,Rarely,D,keeping house,28,no,yes,11,e. nor. central,0,0,0,$25000 or more,every week,3,,1,Very Happy
citzen10031,Once a month,G,working fulltime,47,no,no,16,middle atlantic,2,0,0,$25000 or more,once a year,2,1,1,Pretty Happy
